UNIQUE_READS_PERCENT, POLICY, READ_WRITES, CACHE_SIZE, RAM_SIZE, HIT, MISS, RATIO,TIME ns
90.0,LFU, 2001,100,1000,97 ,903, 0.097,39.626359939575195
90.0,FIFO, 2001,100,1000,103 ,897, 0.103,23.993730545043945
90.0,LRU, 2001,100,1000,95 ,905, 0.095,46.88000679016113
90.0,LFU, 2001,100,1000,83 ,917, 0.083,31.719207763671875
90.0,FIFO, 2001,100,1000,95 ,905, 0.095,31.273365020751953
100,LRU, 2001,100,1000,100 ,900, 0.1,47.03974723815918
100,LFU, 2001,100,1000,103 ,897, 0.103,31.77022933959961
100,FIFO, 2001,100,1000,100 ,900, 0.1,31.2502384185791
100,LRU, 2001,100,1000,93 ,907, 0.093,31.25
100,LFU, 2001,100,1000,101 ,899, 0.101,47.39522933959961
100,FIFO, 2001,100,1000,93 ,907, 0.093,24.030685424804688
100,LRU, 2001,100,1000,85 ,915, 0.085,40.26484489440918
100,LFU, 2001,100,1000,99 ,901, 0.099,39.84189033508301
100,FIFO, 2001,100,1000,83 ,917, 0.083,31.270503997802734
100,LRU, 2001,100,1000,97 ,903, 0.097,34.273386001586914
100,LFU, 2001,100,1000,96 ,904, 0.096,44.30437088012695
100,FIFO, 2001,100,1000,97 ,903, 0.097,55.95588684082031
100,LRU, 2001,100,1000,96 ,904, 0.096,38.32530975341797
100,LFU, 2001,100,1000,85 ,915, 0.085,62.91627883911133
100,FIFO, 2001,100,1000,97 ,903, 0.097,31.30197525024414
100,LRU, 2001,100,1000,86 ,914, 0.086,31.247615814208984
100,LFU, 2001,100,1000,86 ,914, 0.086,47.301530838012695
100,FIFO, 2001,100,1000,86 ,914, 0.086,15.676021575927734
100,LRU, 2001,100,1000,93 ,907, 0.093,46.874046325683594
100,LFU, 2001,100,1000,95 ,905, 0.095,40.463924407958984
100,FIFO, 2001,100,1000,93 ,907, 0.093,24.027347564697266
100,LRU, 2001,100,1000,102 ,898, 0.102,39.74318504333496
100,LFU, 2001,100,1000,102 ,898, 0.102,31.713247299194336
100,FIFO, 2001,100,1000,102 ,898, 0.102,31.30316734313965
100,LRU, 2001,100,1000,81 ,919, 0.081,31.24856948852539
100,LFU, 2001,100,1000,75 ,925, 0.075,62.9277229309082
100,FIFO, 2001,100,1000,81 ,919, 0.081,46.88525199890137
