UNIQUE_READS_PERCENT, POLICY, READ_WRITES, CACHE_SIZE, RAM_SIZE, HIT, MISS, RATIO,TIME ns
10.0,LFU, 2001,10,1000,110 ,890, 0.11,15.646696090698242
10.0,FIFO, 2001,10,1000,102 ,898, 0.102,15.604496002197266
10.0,LRU, 2001,10,1000,83 ,917, 0.083,31.253576278686523
10.0,LFU, 2001,10,1000,102 ,898, 0.102,21.548986434936523
10.0,FIFO, 2001,10,1000,83 ,917, 0.083,6.270647048950195
10.0,LRU, 2001,10,1000,114 ,886, 0.114,15.62643051147461
10.0,LFU, 2001,10,1000,100 ,900, 0.1,15.634298324584961
10.0,FIFO, 2001,10,1000,114 ,886, 0.114,15.61427116394043
10.0,LRU, 2001,10,1000,108 ,892, 0.108,15.624523162841797
10.0,LFU, 2001,10,1000,100 ,900, 0.1,15.650749206542969
10.0,FIFO, 2001,10,1000,108 ,892, 0.108,5.54966926574707
10.0,LRU, 2001,10,1000,97 ,903, 0.097,15.661239624023438
10.0,LFU, 2001,10,1000,99 ,901, 0.099,15.82956314086914
10.0,FIFO, 2001,10,1000,97 ,903, 0.097,15.624046325683594
10.0,LRU, 2001,10,1000,118 ,882, 0.118,15.619277954101562
10.0,LFU, 2001,10,1000,102 ,898, 0.102,15.641212463378906
10.0,FIFO, 2001,10,1000,118 ,882, 0.118,0.0
10.0,LRU, 2001,10,1000,100 ,900, 0.1,0.5254745483398438
10.0,LFU, 2001,10,1000,98 ,902, 0.098,15.548229217529297
10.0,FIFO, 2001,10,1000,100 ,900, 0.1,15.678167343139648
10.0,LRU, 2001,10,1000,79 ,921, 0.079,15.810728073120117
10.0,LFU, 2001,10,1000,95 ,905, 0.095,15.438556671142578
10.0,FIFO, 2001,10,1000,79 ,921, 0.079,15.605449676513672
10.0,LRU, 2001,10,1000,120 ,880, 0.12,15.611886978149414
10.0,LFU, 2001,10,1000,97 ,903, 0.097,16.409873962402344
10.0,FIFO, 2001,10,1000,120 ,880, 0.12,15.677213668823242
10.0,LRU, 2001,10,1000,96 ,904, 0.096,15.878915786743164
10.0,LFU, 2001,10,1000,78 ,922, 0.078,0.0
10.0,FIFO, 2001,10,1000,97 ,903, 0.097,0.0
10.0,LRU, 2001,10,1000,109 ,891, 0.109,15.424251556396484
10.0,LFU, 2001,10,1000,94 ,906, 0.094,27.872562408447266
