UNIQUE_READS_PERCENT, POLICY, READ_WRITES, CACHE_SIZE, RAM_SIZE, HIT, MISS, RATIO,TIME ns
50.0,FIFO, 2001,10,1000,17 ,983, 0.017,17.57049560546875
50.0,LRU, 2001,10,1000,17 ,983, 0.017,8.020162582397461
50.0,LFU, 2001,10,1000,16 ,984, 0.016,8.764505386352539
50.0,FIFO, 2001,10,1000,17 ,983, 0.017,15.049457550048828
50.0,LRU, 2001,10,1000,23 ,977, 0.023,15.677690505981445
50.0,LFU, 2001,10,1000,20 ,980, 0.02,15.625238418579102
50.0,FIFO, 2001,10,1000,23 ,977, 0.023,15.596866607666016
50.0,LRU, 2001,10,1000,14 ,986, 0.014,15.658378601074219
50.0,LFU, 2001,10,1000,25 ,975, 0.025,15.590429306030273
50.0,FIFO, 2001,10,1000,14 ,986, 0.014,31.2654972076416
50.0,LRU, 2001,10,1000,18 ,982, 0.018,15.618324279785156
50.0,LFU, 2001,10,1000,16 ,984, 0.016,15.62356948852539
50.0,FIFO, 2001,10,1000,18 ,982, 0.018,15.62643051147461
50.0,LRU, 2001,10,1000,19 ,981, 0.019,16.301631927490234
50.0,LFU, 2001,10,1000,11 ,989, 0.011,16.03245735168457
50.0,FIFO, 2001,10,1000,19 ,981, 0.019,16.147613525390625
50.0,LRU, 2001,10,1000,17 ,983, 0.017,15.655994415283203
50.0,LFU, 2001,10,1000,15 ,985, 0.015,15.625715255737305
50.0,FIFO, 2001,10,1000,17 ,983, 0.017,15.625
50.0,LRU, 2001,10,1000,21 ,979, 0.021,15.625476837158203
50.0,LFU, 2001,10,1000,27 ,973, 0.027,15.625
50.0,FIFO, 2001,10,1000,21 ,979, 0.021,15.624523162841797
50.0,LRU, 2001,10,1000,29 ,971, 0.029,15.624284744262695
50.0,LFU, 2001,10,1000,30 ,970, 0.03,15.626192092895508
50.0,FIFO, 2001,10,1000,29 ,971, 0.029,15.624284744262695
50.0,LRU, 2001,10,1000,19 ,981, 0.019,15.626192092895508
50.0,LFU, 2001,10,1000,18 ,982, 0.018,15.602827072143555
50.0,FIFO, 2001,10,1000,19 ,981, 0.019,15.624284744262695
50.0,LRU, 2001,10,1000,11 ,989, 0.011,15.646934509277344
50.0,LFU, 2001,10,1000,21 ,979, 0.021,15.624761581420898
50.0,FIFO, 2001,10,1000,11 ,989, 0.011,15.602827072143555
50.0,LRU, 2001,10,1000,16 ,984, 0.016,15.646934509277344
50.0,LFU, 2001,10,1000,17 ,983, 0.017,15.625
50.0,FIFO, 2001,10,1000,16 ,984, 0.016,17.765522003173828
50.0,LRU, 2001,10,1000,23 ,977, 0.023,14.418601989746094
50.0,LFU, 2001,10,1000,16 ,984, 0.016,16.857624053955078
50.0,FIFO, 2001,10,1000,23 ,977, 0.023,14.517068862915039
50.0,LRU, 2001,10,1000,20 ,980, 0.02,15.679597854614258
50.0,LFU, 2001,10,1000,26 ,974, 0.026,15.625953674316406
50.0,FIFO, 2001,10,1000,20 ,980, 0.02,15.606880187988281
50.0,LRU, 2001,10,1000,28 ,972, 0.028,31.233787536621094
50.0,LFU, 2001,10,1000,22 ,978, 0.022,15.63715934753418
50.0,FIFO, 2001,10,1000,28 ,972, 0.028,0.0
50.0,LRU, 2001,10,1000,19 ,981, 0.019,15.688896179199219
50.0,LFU, 2001,10,1000,14 ,986, 0.014,16.0520076751709
50.0,FIFO, 2001,10,1000,19 ,981, 0.019,15.977144241333008
50.0,LRU, 2001,10,1000,31 ,969, 0.031,16.09039306640625
50.0,LFU, 2001,10,1000,21 ,979, 0.021,15.642404556274414
50.0,FIFO, 2001,10,1000,31 ,969, 0.031,15.642166137695312
50.0,LRU, 2001,10,1000,13 ,987, 0.013,15.625238418579102
50.0,LFU, 2001,10,1000,20 ,980, 0.02,0.0
50.0,FIFO, 2001,10,1000,13 ,987, 0.013,0.0
50.0,LRU, 2001,10,1000,21 ,979, 0.021,15.625238418579102
50.0,LFU, 2001,10,1000,14 ,986, 0.014,15.624761581420898
50.0,FIFO, 2001,10,1000,21 ,979, 0.021,15.625476837158203
50.0,LRU, 2001,10,1000,22 ,978, 0.022,15.599727630615234
50.0,LFU, 2001,10,1000,20 ,980, 0.02,15.648603439331055
50.0,FIFO, 2001,10,1000,22 ,978, 0.022,15.770912170410156
50.0,LRU, 2001,10,1000,16 ,984, 0.016,15.480756759643555
50.0,LFU, 2001,10,1000,14 ,986, 0.014,15.622854232788086
50.0,FIFO, 2001,10,1000,16 ,984, 0.016,15.627861022949219
50.0,LRU, 2001,10,1000,26 ,974, 0.026,15.625238418579102
50.0,LFU, 2001,10,1000,20 ,980, 0.02,15.622377395629883
50.0,FIFO, 2001,10,1000,26 ,974, 0.026,15.625953674316406
50.0,LRU, 2001,10,1000,19 ,981, 0.019,15.625953674316406
50.0,LFU, 2001,10,1000,26 ,974, 0.026,17.7457332611084
50.0,FIFO, 2001,10,1000,19 ,981, 0.019,12.565135955810547
50.0,LRU, 2001,10,1000,17 ,983, 0.017,16.787290573120117
50.0,LFU, 2001,10,1000,21 ,979, 0.021,15.049934387207031
50.0,FIFO, 2001,10,1000,17 ,983, 0.017,15.681266784667969
50.0,LRU, 2001,10,1000,21 ,979, 0.021,15.621185302734375
50.0,LFU, 2001,10,1000,20 ,980, 0.02,15.625238418579102
50.0,FIFO, 2001,10,1000,21 ,979, 0.021,15.607833862304688
50.0,LRU, 2001,10,1000,28 ,972, 0.028,15.623807907104492
50.0,LFU, 2001,10,1000,22 ,978, 0.022,15.619993209838867
50.0,FIFO, 2001,10,1000,28 ,972, 0.028,16.77680015563965
50.0,LRU, 2001,10,1000,20 ,980, 0.02,16.05534553527832
50.0,LFU, 2001,10,1000,13 ,987, 0.013,16.018390655517578
50.0,FIFO, 2001,10,1000,20 ,980, 0.02,2.0918846130371094
50.0,LRU, 2001,10,1000,19 ,981, 0.019,0.0
50.0,LFU, 2001,10,1000,23 ,977, 0.023,0.0
50.0,FIFO, 2001,10,1000,19 ,981, 0.019,0.0
50.0,LRU, 2001,10,1000,20 ,980, 0.02,15.599727630615234
50.0,LFU, 2001,10,1000,25 ,975, 0.025,15.649080276489258
